origin,props
PMD,0.067826087
ANC,0.248567177
ELP,0.314787974
CAE,0.380503885
BNA,0.363007585
IMT,0.162162162
SGF,0.273617107
HTS,0.357526882
ACV,0.322782827
LNY,0.033898305
KOA,0.210382514
LMT,0.243875278
CID,0.22031122
CRP,0.27385684
CHA,0.302853479
BET,0.286643322
MFE,0.234799972
SMF,0.357002921
CAK,0.251949198
FAR,0.170553238
YUM,0.183906364
ORH,0.297159813
CPR,0.225108225
IYK,0.103365385
MVY,0.459459459
ART,0.252475248
GTF,0.140350877
PSC,0.214364763
FMN,1
OMA,0.268298614
LGB,0.255404861
ILE,0.149038462
MLU,0.307476545
SIT,0.274927396
TUS,0.320088476
ATW,0.215275961
MGM,0.299080007
SDF,0.345201925
JAC,0.219961095
OGG,0.255493559
ROA,0.371885119
CLD,0.28042328
GSO,0.376477162
MSO,0.202641206
ATL,0.464663594
PIA,0.245065634
AVL,0.326052572
SPI,0.241582492
BRD,0.14379085
ESC,0.038461538
OME,0.336783823
TLH,0.382559369
MCN,0.264755481
BWI,0.440702596
RST,0.16578376
LAN,0.206569901
SPS,0.18308656
MQT,0.193720775
CWA,0.237937872
CDC,0.170107349
FNT,0.24886946
HKY,0.258064516
ERI,0.32731377
EWN,0.252
SFO,0.405211275
ORD,0.455310721
BDL,0.334179876
JFK,0.390667032
MKG,0.286415712
COS,0.26704749
JAN,0.340661003
PAH,0.305555556
HHH,0.350453172
FLG,0.16793722
SYR,0.359938406
GTR,0.26748341
PLN,0.138643068
SPN,0.184802432
SNA,0.357133512
SBN,0.285833973
BUR,0.311799312
RIC,0.337531276
MFR,0.306122449
STX,0.257125155
HNL,0.271959903
GRB,0.182331737
INL,0.104761905
GEG,0.236976878
MAF,0.2626509
MHT,0.308536685
ABY,0.271249419
CLE,0.298291043
GPT,0.275253102
BMI,0.252780586
JAX,0.351389643
HDN,0.15755627
UTM,0.285714286
BUF,0.34677718
BKG,0.288861689
LAR,0.252173913
SCK,0.16779661
RDD,0.325810553
APN,0.352380952
CIC,0.321944809
MWH,0.029411765
DET,0.282833021
PWM,0.28719157
LWS,0.166666667
STL,0.374726828
LAS,0.403481725
HPN,0.299298519
DRO,0.192110384
SAV,0.358921317
PBI,0.397862506
SOP,0.545454545
STT,0.287913083
MHK,0.276104418
MCI,0.340268362
MSN,0.223618244
ABI,0.212664065
ADQ,0.273500236
SCE,0.125
SLC,0.322278421
GJT,0.213660073
EKO,0.180761782
BRW,0.365073529
PIT,0.464770467
ABR,0.147679325
IAD,0.371487696
MLB,0.268037082
GCC,0.21230982
BOS,0.376337461
EWR,0.416858867
BIL,0.190412561
AVP,0.305763874
BTV,0.306117818
PVD,0.335764223
SUX,0.148882594
PFN,0.319928187
BQN,0.244544771
RNO,0.297062275
DTW,0.363098983
BGR,0.27706575
KSM,0.26984127
TUL,0.295860085
XNA,0.29227934
DLG,0.286723164
BPT,0.190092879
DRT,0.066666667
CIU,0.245454545
LBB,0.290871452
RDM,0.220212413
VLD,0.260451706
SAT,0.322996634
CEC,0.346325167
RHI,0.237373737
MDW,0.423915075
CMH,0.322626396
LIT,0.316005312
FAI,0.207060816
VPS,0.286426151
DAY,0.35309754
FAT,0.267280677
PSE,0.150809717
ISO,0.337006428
HIB,0.097087379
DHN,0.267596056
LCH,0.180463576
CMX,0.189349112
HOB,0.180412371
DEN,0.416266195
MYR,0.328937851
CVG,0.387360829
PSP,0.299893973
PSG,0.275577558
ACY,0.278745645
ANI,0.208955224
DAL,0.413243078
TVC,0.248730268
TUP,0.211453744
FWA,0.245993114
KTN,0.233688483
RFD,0.173076923
MMH,0.445544554
ALB,0.325278486
ELM,0.24454325
AZA,0.166666667
AKN,0.329223181
ECP,0.324890557
SJT,0.20669746
BZN,0.191614032
GNV,0.325180585
DLH,0.182626897
GSP,0.301565344
OTH,0.422382671
IND,0.323868949
ILG,0.268518519
ROP,0.079452055
ROR,0.346774194
DSM,0.247058074
CLT,0.471861538
GRK,0.281125885
CMI,0.22674854
PIE,0.201588878
BQK,0.233550979
CCR,0.193498452
DAB,0.360120482
SRQ,0.319115735
FSM,0.215889085
JNU,0.311883339
ADK,0.459459459
LNK,0.28687946
GRI,0.288990826
SGU,0.228965517
ISN,0.273504274
LEX,0.332421198
PIH,0.101683029
GLH,0
MEI,0.289700997
LFT,0.263982103
AZO,0.206054688
GCN,0.272991288
BFL,0.217929562
TEX,0.160714286
GST,1
MSY,0.348242317
LSE,0.171466184
FCA,0.139345597
YKM,0.196078431
MIA,0.402764652
SEA,0.33920516
RKS,0.242261905
PHL,0.456585875
COD,0.161094225
SMX,0.212920237
SLE,0.228070175
CYS,0.532258065
EYW,0.354005168
ABE,0.267216674
DUT,0.409535452
YAP,0.391608392
MEM,0.311344318
TXK,0.184219921
TWF,0.126506024
CHO,0.258934444
RDU,0.370855981
AEX,0.235642498
EGE,0.205753291
UCA,0.467635403
LAW,0.159296896
VIS,0.113207547
DFW,0.467786664
PPG,0.777777778
PUB,0.08348135
TYR,0.184744268
RSW,0.341009278
ACK,0.378378378
SAF,0.331355094
DCA,0.349003958
MKC,1
HLN,0.193506494
BJI,0.111587983
CRW,0.359618131
HVN,0.384916748
LYH,0.28808124
GCK,0.226495726
GRR,0.250869189
BGM,0.27607362
YAK,0.226610554
PHX,0.401254681
FAY,0.266470707
BOI,0.232404045
LIH,0.19097611
SBA,0.265352033
GGG,0.174154701
GUM,0.241064337
VCT,0.132478632
LRD,0.2514174
DBQ,0.23255814
CHS,0.378822762
TPA,0.358576816
COU,0.385269122
BHM,0.349889344
ITH,0.262812872
ITO,0.173425872
MRY,0.289761589
EAU,0.201783724
OAK,0.382420681
PHF,0.299486221
LWB,0.308943089
TRI,0.298517855
ACT,0.178136704
AMA,0.29484313
SAN,0.360784844
BTM,0.169528842
IPL,0.249006623
SJC,0.326587056
PNS,0.340328951
EFD,0.084148728
HOU,0.41180905
LAX,0.401613743
